customer_id,name,gender,age,city,state,join_date,loyalty_points
1,Customer_1,Male,24,Chennai,TS,2025-12-25,154
2,Customer_2,Male,33,Bangalore,TN,2025-11-19,1871
3,Customer_3,Female,49,Bangalore,DL,2025-09-13,3911
4,Customer_4,Male,46,Bangalore,DL,2025-08-03,3328
5,Customer_5,Male,38,Hyderabad,KA,2025-12-07,2731
6,Customer_6,Male,33,Hyderabad,MH,2025-09-14,1667
7,Customer_7,Male,37,Pune,TN,2026-01-13,2694
8,Customer_8,Male,29,Chennai,TS,2025-09-21,2415
9,Customer_9,Female,34,Pune,MH,2025-11-15,3351
10,Customer_10,Male,40,Delhi,TN,2025-08-17,2218
11,Customer_11,Male,57,Hyderabad,DL,2026-01-20,1160
12,Customer_12,Male,23,Pune,MH,2025-10-07,3334
13,Customer_13,Male,27,Mumbai,DL,2025-08-06,4400
14,Customer_14,Male,40,Bangalore,MH,2025-12-08,1925
15,Customer_15,Male,33,Pune,MH,2025-12-14,3663
16,Customer_16,Male,63,Pune,TS,2025-12-11,2114
17,Customer_17,Female,42,Chennai,KA,2025-11-06,569
18,Customer_18,Male,52,Pune,DL,2025-11-11,1650
19,Customer_19,Female,40,Hyderabad,TN,2025-09-15,2974
20,Customer_20,Female,53,Hyderabad,DL,2025-12-16,2332
21,Customer_21,Male,45,Hyderabad,MH,2025-08-15,4411
22,Customer_22,Male,61,Pune,TN,2025-10-25,1709
23,Customer_23,Female,35,Hyderabad,TN,2025-12-31,2944
24,Customer_24,Female,30,Hyderabad,KA,2025-11-30,382
25,Customer_25,Female,30,Mumbai,KA,2025-11-17,1599
26,Customer_26,Male,25,Hyderabad,MH,2025-08-02,1002
27,Customer_27,Male,25,Delhi,MH,2026-01-15,3216
28,Customer_28,Female,35,Mumbai,TN,2025-12-27,2887
29,Customer_29,Male,41,Mumbai,TN,2026-01-03,2705
30,Customer_30,Male,56,Mumbai,DL,2025-08-14,879
31,Customer_31,Female,31,Delhi,TN,2025-10-11,1639
32,Customer_32,Male,54,Bangalore,TS,2025-10-04,700
33,Customer_33,Female,62,Bangalore,TN,2025-09-19,443
34,Customer_34,Female,27,Delhi,KA,2025-10-27,3715
35,Customer_35,Female,63,Bangalore,KA,2025-08-21,2357
36,Customer_36,Male,61,Hyderabad,TN,2025-09-09,1764
37,Customer_37,Female,21,Chennai,DL,2025-11-30,3551
38,Customer_38,Male,58,Pune,MH,2025-11-18,574
39,Customer_39,Female,49,Pune,TN,2025-09-30,1140
40,Customer_40,Male,48,Bangalore,DL,2025-10-31,1154
41,Customer_41,Female,21,Hyderabad,MH,2025-10-15,3054
42,Customer_42,Female,51,Delhi,MH,2025-12-21,3054
43,Customer_43,Male,30,Pune,DL,2025-11-12,2578
44,Customer_44,Male,56,Chennai,TS,2026-01-17,2127
45,Customer_45,Male,41,Chennai,DL,2025-11-11,1077
46,Customer_46,Male,59,Delhi,TN,2026-01-04,337
47,Customer_47,Female,35,Chennai,TN,2025-12-07,4462
48,Customer_48,Male,18,Chennai,MH,2025-11-26,3729
49,Customer_49,Male,45,Pune,MH,2025-12-30,191
50,Customer_50,Male,33,Pune,TN,2025-10-29,153
51,Customer_51,Female,38,Pune,MH,2026-01-22,2970
52,Customer_52,Female,24,Mumbai,TS,2025-08-11,2572
53,Customer_53,Female,42,Hyderabad,TS,2025-12-29,3331
54,Customer_54,Female,19,Delhi,KA,2025-09-02,4932
55,Customer_55,Male,57,Chennai,TN,2025-11-05,370
56,Customer_56,Female,50,Bangalore,MH,2025-10-04,3992
