store_id,product_id,stock_qty,reorder_level,last_restock_date
1,1,138,50,2025-09-06
1,2,42,45,2025-08-18
1,3,271,83,2025-09-05
1,4,290,62,2026-01-21
1,5,300,79,2025-10-04
1,6,353,95,2026-01-19
1,7,170,64,2025-12-09
1,8,82,77,2025-10-29
1,9,57,31,2025-09-29
1,10,155,96,2025-09-14
1,11,243,53,2025-11-04
1,12,380,97,2025-11-03
1,13,128,54,2025-12-04
1,14,8,46,2025-11-22
1,15,56,68,2025-09-30
1,16,203,42,2025-09-09
1,17,242,100,2026-01-13
1,18,248,63,2025-12-22
1,19,315,63,2025-12-14
1,20,364,46,2025-11-16
1,21,341,68,2026-01-22
1,22,350,94,2025-11-01
1,23,54,96,2025-10-15
1,24,24,75,2025-12-26
1,25,173,37,2025-08-19
1,26,97,33,2025-08-10
1,27,317,44,2025-12-03
1,28,188,34,2026-01-04
1,29,51,93,2025-08-25
1,30,184,92,2025-09-16
1,31,171,63,2025-08-02
1,32,250,60,2025-10-19
1,33,120,78,2025-11-11
1,34,128,81,2025-09-13
1,35,268,69,2025-08-28
1,36,339,79,2025-11-27
1,37,140,45,2025-09-12
1,38,130,80,2025-11-19
1,39,0,77,2025-10-19
1,40,278,63,2025-11-13
1,41,53,73,2025-10-20
1,42,297,48,2025-09-15
1,43,148,54,2025-11-28
1,44,384,67,2025-08-11
1,45,336,60,2025-12-23
1,46,90,40,2025-11-13
1,47,107,72,2025-09-17
1,48,161,85,2025-08-09
1,49,57,50,2025-12-30
1,50,243,98,2026-01-08
1,51,379,61,2025-12-21
1,52,167,34,2025-10-29
1,53,392,85,2025-11-22
1,54,248,100,2026-01-14
1,55,63,93,2025-12-12
1,56,166,36,2025-07-30
1,57,310,100,2025-08-08
1,58,146,62,2025-12-25
1,59,241,51,2025-08-12
1,60,388,44,2025-11-21
1,61,271,41,2025-11-04
1,62,166,60,2025-11-04
1,63,344,75,2025-11-22
1,64,0,47,2025-11-30
1,65,294,33,2026-01-01
1,66,237,80,2025-10-05
1,67,331,87,2026-01-25
1,68,249,36,2025-11-14
1,69,36,32,2025-09-08
1,70,194,68,2025-09-13
1,71,231,56,2025-09-26
1,72,31,89,2025-10-28
1,73,226,38,2025-07-31
1,74,154,70,2025-12-18
1,75,215,97,2026-01-20
1,76,350,53,2025-10-05
1,77,333,52,2025-11-28
1,78,285,55,2025-09-11
1,79,331,54,2026-01-16
1,80,8,37,2025-11-22
1,81,369,47,2025-09-15
1,82,227,50,2025-10-28
1,83,20,58,2026-01-15
1,84,209,58,2025-12-07
1,85,3,98,2025-12-10
1,86,134,58,2025-09-26
1,87,107,62,2025-11-12
1,88,397,56,2025-09-07
1,89,182,66,2026-01-10
1,90,361,97,2025-09-24
1,91,176,47,2025-09-03
1,92,86,72,2025-12-01
1,93,186,88,2025-09-25
1,94,156,46,2025-10-18
1,95,159,77,2025-08-28
1,96,16,35,2026-01-20
1,97,251,56,2025-12-16
1,98,157,43,2025-12-29
1,99,279,57,2025-12-13
1,100,172,60,2025-09-13
1,101,230,64,2025-10-28
1,102,174,40,2026-01-11
1,103,327,80,2025-09-27
1,104,97,47,2025-09-12
1,105,267,71,2025-08-29
1,106,14,45,2025-08-16
1,107,302,45,2026-01-09
1,108,2,96,2025-08-13
1,109,169,64,2025-08-19
1,110,204,85,2026-01-17
1,111,204,48,2025-12-05
1,112,332,49,2025-08-20
1,113,122,56,2026-01-11
1,114,246,40,2025-10-22
1,115,270,97,2025-09-13
1,116,79,31,2026-01-17
1,117,112,87,2025-12-14
1,118,247,48,2025-09-04
1,119,228,48,2025-09-30
1,120,232,94,2025-12-16
1,121,162,57,2025-08-16
1,122,187,44,2025-09-22
1,123,98,82,2025-08-04
1,124,154,92,2025-12-08
1,125,393,72,2025-11-09
1,126,95,48,2026-01-11
1,127,58,32,2025-11-29
1,128,249,88,2025-12-27
1,129,123,58,2025-12-28
1,130,96,80,2025-10-09
1,131,175,78,2025-09-09
1,132,394,94,2025-09-12
1,133,326,97,2025-08-07
1,134,189,66,2025-10-19
1,135,356,97,2025-11-12
1,136,125,83,2025-09-06
1,137,103,46,2025-11-25
1,138,10,45,2025-08-11
1,139,227,50,2025-11-20
1,140,147,77,2025-09-25
1,141,87,30,2025-08-27
1,142,101,88,2025-08-28
1,143,386,97,2026-01-05
1,144,302,53,2025-10-08
1,145,128,95,2025-08-14
1,146,12,35,2026-01-23
1,147,130,89,2025-08-30
1,148,174,86,2025-11-05
1,149,298,31,2025-12-27
1,150,215,62,2025-11-28
1,151,314,100,2026-01-06
1,152,184,45,2025-08-22
1,153,147,37,2025-11-28
1,154,176,88,2025-12-18
1,155,228,42,2025-08-27
1,156,25,40,2025-08-03
1,157,101,67,2025-09-13
1,158,175,68,2025-11-14
1,159,142,64,2025-10-01
1,160,227,84,2025-12-05
1,161,89,80,2025-08-28
1,162,285,40,2025-12-08
1,163,336,77,2025-12-01
1,164,270,34,2025-09-07
1,165,108,40,2025-10-29
1,166,125,34,2025-08-24
1,167,301,32,2025-11-02
1,168,110,64,2025-07-31
1,169,289,87,2025-08-28
1,170,240,95,2025-12-18
1,171,274,79,2025-11-27
1,172,279,76,2025-09-15
1,173,354,83,2025-11-17
1,174,125,49,2025-10-09
1,175,194,58,2026-01-05
1,176,26,50,2025-11-02
1,177,7,94,2026-01-09
1,178,387,100,2025-11-30
1,179,93,59,2025-12-29
1,180,342,71,2026-01-03
1,181,205,100,2026-01-04
1,182,362,64,2025-07-30
1,183,359,57,2025-11-20
1,184,161,59,2026-01-14
1,185,183,60,2025-11-07
1,186,305,97,2025-09-24
1,187,326,45,2025-12-17
1,188,208,34,2025-10-04
1,189,64,56,2025-11-28
1,190,193,85,2026-01-12
1,191,398,57,2025-08-06
1,192,344,57,2025-12-30
1,193,165,64,2025-10-07
