store_id,store_name,city,state,region,open_date,manager_name
1,Store_1,Bangalore,MH,North,2025-02-01,Manager_0
2,Store_2,Delhi,TS,North,2025-02-04,Manager_1
3,Store_3,Mumbai,TS,South,2024-11-22,Manager_2
4,Store_4,Mumbai,TS,North,2025-03-11,Manager_3
5,Store_5,Delhi,KA,West,2025-04-24,Manager_4
6,Store_6,Mumbai,TS,South,2025-04-06,Manager_5
7,Store_7,Mumbai,DL,West,2024-09-17,Manager_6
8,Store_8,Hyderabad,MH,North,2024-08-12,Manager_7
9,Store_9,Mumbai,DL,North,2025-06-07,Manager_8
10,Store_10,Bangalore,DL,North,2025-05-08,Manager_9
11,Store_11,Mumbai,KA,North,2024-10-06,Manager_10
12,Store_12,Hyderabad,TS,South,2025-05-01,Manager_11
13,Store_13,Chennai,MH,North,2025-07-12,Manager_12
14,Store_14,Mumbai,MH,West,2024-09-29,Manager_13
15,Store_15,Mumbai,DL,West,2025-05-31,Manager_14
16,Store_16,Mumbai,MH,North,2024-11-28,Manager_15
17,Store_17,Mumbai,DL,West,2024-10-14,Manager_16
18,Store_18,Bangalore,TS,South,2024-12-27,Manager_17
19,Store_19,Hyderabad,TN,West,2024-11-17,Manager_18
20,Store_20,Hyderabad,DL,North,2025-07-08,Manager_19
21,Store_21,Chennai,TN,West,2024-08-25,Manager_20
22,Store_22,Delhi,KA,South,2024-10-19,Manager_21
23,Store_23,Bangalore,TS,South,2025-02-27,Manager_22
24,Store_24,Delhi,TN,North,2025-06-26,Manager_23
25,Store_25,Hyderabad,MH,North,2025-01-11,Manager_24
26,Store_26,Delhi,KA,North,2025-07-23,Manager_25
27,Store_27,Bangalore,DL,North,2024-08-09,Manager_26
28,Store_28,Delhi,KA,North,2025-01-23,Manager_27
29,Store_29,Mumbai,TN,South,2024-09-19,Manager_28
30,Store_30,Mumbai,TS,South,2025-02-18,Manager_29
31,Store_31,Chennai,TN,North,2024-10-15,Manager_30
32,Store_32,Delhi,KA,South,2025-03-24,Manager_31
33,Store_33,Chennai,KA,West,2025-01-02,Manager_32
34,Store_34,Mumbai,KA,North,2025-03-20,Manager_33
35,Store_35,Chennai,MH,North,2024-09-09,Manager_34
36,Store_36,Hyderabad,MH,West,2024-11-12,Manager_35
37,Store_37,Hyderabad,MH,West,2025-05-23,Manager_36
38,Store_38,Delhi,DL,North,2025-05-25,Manager_37
39,Store_39,Delhi,TN,North,2025-05-03,Manager_38
40,Store_40,Bangalore,KA,South,2024-12-06,Manager_39
41,Store_41,Chennai,MH,South,2024-12-28,Manager_40
42,Store_42,Delhi,KA,South,2025-03-18,Manager_41
43,Store_43,Hyderabad,TN,West,2025-07-23,Manager_42
44,Store_44,Hyderabad,MH,West,2025-04-21,Manager_43
45,Store_45,Delhi,TS,West,2025-03-13,Manager_44
46,Store_46,Mumbai,TN,North,2025-03-29,Manager_45
47,Store_47,Mumbai,DL,South,2025-02-05,Manager_46
48,Store_48,Bangalore,MH,West,2024-12-01,Manager_47
49,Store_49,Hyderabad,MH,South,2024-12-03,Manager_48
50,Store_50,Hyderabad,TN,South,2024-10-15,Manager_49
