supplier_id,supplier_name,city,lead_time_days,rating
1,Supplier_1,Bangalore,5,3.62
2,Supplier_2,Chennai,8,3.54
3,Supplier_3,Chennai,8,4.17
4,Supplier_4,Bangalore,7,3.04
5,Supplier_5,Chennai,5,3.89
6,Supplier_6,Chennai,7,3.24
7,Supplier_7,Bangalore,10,4.76
8,Supplier_8,Bangalore,5,4.08
9,Supplier_9,Hyderabad,2,4.6
10,Supplier_10,Chennai,9,3.35
11,Supplier_11,Mumbai,2,3.96
12,Supplier_12,Mumbai,8,3.48
13,Supplier_13,Bangalore,9,3.01
14,Supplier_14,Bangalore,1,3.63
15,Supplier_15,Hyderabad,9,4.66
16,Supplier_16,Chennai,1,4.62
17,Supplier_17,Chennai,3,3.22
18,Supplier_18,Chennai,4,3.42
19,Supplier_19,Chennai,3,3.02
20,Supplier_20,Bangalore,5,3.61
21,Supplier_21,Bangalore,5,4.81
22,Supplier_22,Chennai,2,3.26
23,Supplier_23,Bangalore,5,4.29
24,Supplier_24,Chennai,6,3.47
25,Supplier_25,Mumbai,4,4.12
26,Supplier_26,Mumbai,1,3.75
27,Supplier_27,Mumbai,9,3.08
28,Supplier_28,Bangalore,6,4.53
29,Supplier_29,Hyderabad,4,3.05
30,Supplier_30,Bangalore,2,3.89
31,Supplier_31,Bangalore,3,4.55
32,Supplier_32,Chennai,1,3.29
33,Supplier_33,Bangalore,5,3.85
34,Supplier_34,Chennai,8,3.15
35,Supplier_35,Chennai,1,4.27
36,Supplier_36,Bangalore,1,3.92
37,Supplier_37,Mumbai,3,4.45
38,Supplier_38,Mumbai,6,3.32
39,Supplier_39,Hyderabad,10,4.75
40,Supplier_40,Chennai,8,4.45
41,Supplier_41,Chennai,8,4.9
42,Supplier_42,Mumbai,4,4.44
43,Supplier_43,Chennai,8,3.94
44,Supplier_44,Mumbai,8,4.28
45,Supplier_45,Bangalore,6,4.93
46,Supplier_46,Bangalore,8,3.72
47,Supplier_47,Bangalore,9,3.45
48,Supplier_48,Bangalore,10,3.01
49,Supplier_49,Bangalore,1,3.45
50,Supplier_50,Bangalore,2,3.29
51,Supplier_51,Hyderabad,4,4.0
52,Supplier_52,Mumbai,4,4.82
53,Supplier_53,Mumbai,8,4.29
54,Supplier_54,Mumbai,7,3.48
55,Supplier_55,Mumbai,7,3.65
56,Supplier_56,Mumbai,1,3.7
57,Supplier_57,Chennai,10,4.46
